TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
33,CUST6549,ACC12334,Credit,Withdrawal,Savings Account,Firm C,Central,Manager 1,21-10-2023,87480.05448,74008.4331,0.729101374,319,200
177,CUST2942,ACC52650,Credit,Withdrawal,Home Loan,Firm A,East,Manager 3,20-06-2023,20315.74505,22715.8359,0.472423679,692,47
178,CUST6776,ACC45101,Current,Deposit,Personal Loan,Firm C,South,Manager 3,02-01-2023,10484.57165,42706.0921,0.648784394,543,109
173,CUST2539,ACC88252,Current,Withdrawal,Mutual Fund,Firm A,Central,Manager 2,25-07-2023,45122.27373,114176.5687,0.734831865,430,103
67,CUST2626,ACC21878,Savings,Withdrawal,Home Loan,Firm C,Central,Manager 4,25-07-2023,42360.79878,17863.02644,0.289304107,468,234
96,CUST4684,ACC45101,Savings,Deposit,Personal Loan,Firm D,South,Manager 1,01-01-2024,68914.59783,61992.54273,0.39977968,437,65
57,CUST8416,ACC49422,Loan,Deposit,Credit Card,Firm A,West,Manager 4,08-01-2024,47538.12665,92956.90293,0.527219006,632,63
27,CUST9731,ACC12182,Loan,Payment,Savings Account,Firm A,North,Manager 2,16-10-2023,51935.49405,140369.899,0.840355897,487,186
25,CUST8155,ACC11188,Credit,Withdrawal,Personal Loan,Firm E,South,Manager 4,24-10-2023,67602.35218,78966.75783,0.314228296,517,207
138,CUST2067,ACC28292,Credit,Deposit,Savings Account,Firm B,West,Manager 4,08-01-2024,35930.46511,69716.54246,0.456503389,324,68
68,CUST8279,ACC20297,Loan,Transfer,Mutual Fund,Firm E,South,Manager 3,18-03-2023,45684.53849,109886.2309,0.129710707,595,51
6,CUST5385,ACC29396,Loan,Payment,Credit Card,Firm A,West,Manager 2,10-08-2023,41901.77776,114749.6626,0.673299439,612,160
195,CUST5920,ACC29396,Credit,Transfer,Personal Loan,Firm D,East,Manager 3,20-11-2023,71906.85992,92425.09938,0.576964331,367,135
111,CUST8529,ACC34821,Credit,Withdrawal,Savings Account,Firm B,South,Manager 4,11-09-2023,63101.51893,52649.2239,0.284473481,708,31
